Ê±¼ä,H1,H2,H3,HT1,HT2
             3.87500,            56.43789,            75.57404,            77.95020,            51.59858,            77.27305
             3.88000,            57.55277,            76.00731,            78.09407,            52.33444,            77.45792
             3.88500,            58.73631,            76.38057,            78.25052,            53.11424,            77.64946
             3.89000,            59.99142,            76.69940,            78.38393,            53.93698,            77.82611
             3.89500,            61.31626,            76.97171,            78.52862,            54.79349,            77.99688
             3.90000,            62.72066,            77.21371,            78.64989,            55.72290,            78.15292
             3.90500,            64.19184,            77.43804,            78.78458,            56.75278,            78.30663
             3.91000,            65.72464,            77.64132,            78.90232,            57.85529,            78.45904
             3.91500,            67.39096,            77.84181,            79.02785,            59.03129,            78.59932
             3.92000,            69.24747,            78.02382,            79.13670,            60.27355,            78.73963
             3.92500,            71.01394,            78.20006,            79.26142,            61.59046,            78.86974
             3.93000,            72.45302,            78.36908,            79.36872,            62.98163,            79.00587
             3.93500,            73.60420,            78.52894,            79.48145,            64.44470,            79.13144
             3.94000,            74.50453,            78.67877,            79.58353,            65.96454,            79.25107
             3.94500,            75.23625,            78.82753,            79.68582,            67.62155,            79.37122
             3.95000,            75.84163,            78.96415,            79.79003,            69.46592,            79.48457
             3.95500,            76.35044,            79.10181,            79.88464,            71.10325,            79.59542
             3.96000,            76.77514,            79.23270,            79.98426,            72.24841,            79.70142
             3.96500,            77.15422,            79.35835,            80.07305,            72.94206,            79.81125
             3.97000,            77.47911,            79.48486,            80.17255,            73.27449,            79.91122
             3.97500,            77.77091,            79.60593,            80.25642,            73.35268,            80.01323
             3.98000,            78.02549,            79.71697,            80.34614,            73.24609,            80.10918
             3.98500,            78.14416,            79.82865,            80.43370,            72.99487,            80.20663
             3.99000,            78.05735,            79.93674,            80.51501,            72.60943,            80.29542
             3.99500,            77.79611,            80.04032,            80.60166,            72.15207,            80.38732
             4.00000,            77.40392,            80.14165,            80.67604,            71.56683,            80.47766
             4.00500,            76.90866,            80.24749,            80.76372,            70.86623,            80.56204
             4.01000,            76.35110,            80.34199,            80.83475,            70.03366,            80.65203
             4.01500,            75.74531,            80.44356,            80.91388,            69.11536,            80.73153
             4.02000,            75.08042,            80.53446,            80.98198,            68.09836,            80.81261
             4.02500,            74.38495,            80.62565,            81.06205,            67.00258,            80.89179
             4.03000,            73.60360,            80.71007,            81.12606,            65.80777,            80.96786
             4.03500,            72.74538,            80.79643,            81.20271,            64.54695,            81.04713
             4.04000,            71.78410,            80.87866,            81.26689,            63.20919,            81.11695
             4.04500,            70.76847,            80.96062,            81.33890,            61.74101,            81.20048
             4.05000,            69.68059,            81.04348,            81.40953,            60.07319,            81.26619
             4.05500,            68.51601,            81.12078,            81.47632,            58.48138,            81.34469
             4.06000,            67.26147,            81.19909,            81.53957,            57.16534,            81.40792
             4.06500,            65.95200,            81.16027,            81.60219,            56.14912,            81.48158
             4.07000,            64.56735,            80.95428,            81.67069,            55.35345,            81.54131
             4.07500,            63.05547,            80.59101,            81.72906,            54.73897,            81.61226
             4.08000,            61.35521,            80.10390,            81.79378,            54.23889,            81.66860
             4.08500,            59.73072,            79.53268,            81.85239,            53.84026,            81.73785
             4.09000,            58.37368,            78.88950,            81.91859,            53.51177,            81.80150
             4.09500,            57.32277,            78.21357,            81.97901,            53.23736,            81.86587
             4.10000,            56.48777,            77.47831,            82.03911,            53.00432,            81.92640
             4.10500,            55.83832,            76.72423,            82.09881,            52.80830,            81.87373
             4.11000,            55.29723,            75.88284,            82.15327,            52.64386,            81.66507
             4.11500,            54.86821,            74.98975,            82.20997,            52.50448,            81.28753
             4.12000,            54.50970,            73.99945,            82.26245,            52.38232,            80.80138
             4.12500,            54.20812,            72.95389,            82.31747,            52.28764,            80.21201
             4.13000,            53.94870,            71.83058,            82.37303,            52.19105,            79.57457
             4.13500,            53.72257,            70.63155,            82.42676,            52.11733,            78.88625
             4.14000,            53.53578,            69.35104,            82.48054,            52.03260,            78.15295
             4.14500,            53.36778,            68.00967,            82.42529,            51.96660,            77.39012
             4.15000,            53.22894,            66.60643,            82.20682,            51.89790,            76.55327
             4.15500,            53.10904,            65.07026,            81.83194,            51.84222,            75.66598
             4.16000,            52.99392,            63.36237,            81.34297,            51.78533,            74.68038
             4.16500,            52.90351,            61.70646,            80.75500,            51.72906,            73.63180
             4.17000,            52.79859,            60.32330,            80.11397,            51.67886,            72.50768
             4.17500,            52.71665,            59.22608,            79.42605,            51.63144,            71.30890
             4.18000,            52.62745,            58.35207,            78.68967,            51.58098,            70.02920
             4.18500,            52.55800,            57.66151,            77.92345,            51.54210,            68.69331
             4.19000,            52.47829,            57.08211,            77.10240,            51.49879,            67.28313
             4.19500,            52.41681,            56.61440,            76.21738,            51.46798,            65.75584
             4.20000,            52.34361,            56.21817,            75.23610,            51.42080,            64.05059
             4.20500,            52.28934,            55.88208,            74.19192,            51.39355,            62.39996
             4.21000,            52.22703,            55.58881,            73.07074,            51.35062,            61.00949
             4.21500,            52.17314,            55.33457,            71.87964,            51.32255,            59.90478
             4.22000,            52.12040,            55.11545,            70.60400,            51.28703,            59.01854
             4.22500,            52.07025,            54.92172,            69.27072,            51.26037,            58.31494
             4.23000,            52.02547,            54.75289,            67.86499,            51.22543,            57.72566
             4.23500,            51.97922,            54.60530,            66.34291,            51.20426,            57.24625
             4.24000,            51.93761,            54.46888,            64.64287,            51.18107,            56.84082
             4.24500,            51.89030,            54.34670,            62.99768,            51.15632,            56.49676
             4.25000,            51.85428,            54.22639,            61.60203,            51.13225,            56.19438
             4.25500,            51.81459,            54.11975,            60.49202,            51.10810,            55.93570
             4.26000,            51.77719,            54.01308,            59.59897,            51.08861,            55.70843
             4.26500,            51.74614,            53.91975,            58.78585,            51.07103,            55.50571
             4.27000,            51.71033,            53.82381,            57.93541,            51.05119,            55.32925
             4.27500,            51.68130,            53.73966,            57.04090,            51.03119,            55.17351
             4.28000,            51.64617,            53.65247,            56.10823,            51.01177,            55.02686
             4.28500,            51.61974,            53.57883,            55.13880,            50.99586,            54.89923
             4.29000,            51.58742,            53.49857,            54.15433,            50.97700,            54.77023
             4.29500,            51.56605,            53.43172,            53.16623,            50.96192,            54.65865
             4.30000,            51.53516,            53.36298,            52.16663,            50.94606,            54.54723
             4.30500,            51.51543,            53.30036,            51.15989,            50.93252,            54.34985
             4.31000,            51.48633,            53.23288,            50.14619,            50.91752,            54.00065
             4.31500,            51.46465,            53.17596,            49.07664,            50.90465,            53.51105
             4.32000,            51.44259,            53.11403,            47.92792,            50.89446,            52.90641
             4.32500,            51.41707,            53.05780,            46.72658,            50.87910,            52.21702
             4.33000,            51.39946,            53.00409,            45.45287,            50.87009,            51.46368
             4.33500,            51.38017,            52.95434,            44.12101,            50.85781,            50.67582
             4.34000,            51.36080,            52.90366,            42.71330,            50.84056,            49.84304
             4.34500,            51.34195,            52.76260,            41.25841,            50.83327,            48.98404
             4.35000,            51.32350,            52.47254,            39.73481,            50.82097,            48.08713
             4.35500,            51.30556,            52.03735,            38.10701,            50.81382,            47.12488
             4.36000,            51.28904,            51.48633,            36.31007,            50.79542,            46.07011
             4.36500,            51.27414,            50.84678,            34.56145,            50.79352,            44.94944
             4.37000,            51.25408,            50.14222,            33.03999,            50.77440,            43.76002
             4.37500,            51.24458,            49.40425,            31.79872,            50.77321,            42.49957
             4.38000,            51.22681,            48.61080,            30.76837,            50.75658,            41.16217
             4.38500,            51.21754,            47.79407,            29.92538,            50.75069,            39.77039
             4.39000,            51.19361,            46.93647,            29.19864,            50.73752,            38.31013
